timestamp,Model,Data,Seed,cen_feats,lr,input_dim,hidden_dim,gconv_nlayers,loss,pre_1,rec_1,f1_1,pre_0,rec_0,f1_0,F1Mi,F1Ma,auroc,auprc,ari_score,sil_score
2025-08-26 01:02:29,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,32,1,BarlowTwins,0.2207792207792207,0.6538461538461539,0.3300970873786408,0.9969335604770015,0.9799062290689886,0.9883465630805606,0.9770916334661356,0.6592218252296007,0.8935609768664021,0.2793494138421311,-0.0003477102747324,-0.045715578
2025-08-26 01:05:46,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,32,2,BarlowTwins,0.1287128712871287,0.8125,0.2222222222222222,0.9989694263139814,0.9706275033377836,0.9845945488403588,0.9697875166002656,0.6034083855312906,0.96875,0.2318085432569459,-0.0002959289415003,-0.0374581180512905
2025-08-26 01:09:30,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,32,4,BarlowTwins,0.0662650602409638,0.6875,0.1208791208791208,0.9982431482782852,0.94826435246996,0.9726121191372816,0.9468791500664012,0.5467456200082013,0.8560685080106809,0.1747544097959007,-7.381653977581808e-05,0.0478497594594955
2025-08-26 01:12:37,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,32,8,BarlowTwins,0.123076923076923,0.5333333333333333,0.2,0.997624703087886,0.980980980980981,0.9892328398384926,0.9787516600265604,0.5946164199192463,0.765087309531754,0.1131377356088493,-1.2553311154375274e-05,-0.0965540707111358
2025-08-26 01:16:19,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,32,16,BarlowTwins,0.0059578368469294,0.5909090909090909,0.0117967332123411,0.989156626506024,0.2745819397993311,0.4298429319371728,0.2768924302788844,0.220819832574757,0.4014138035877166,0.0058789866813829,0.0007329170885647,-0.1236015558242797
2025-08-26 01:20:12,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,32,32,BarlowTwins,0.0071394574012375,0.6818181818181818,0.0141309467734338,0.9923161361141604,0.3023411371237458,0.4634709048961805,0.3051128818061089,0.2388009258348071,0.4899209486166008,0.0072332657943163,0.0004568444962197,-0.028192289173603
2025-08-26 11:03:37,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,64,1,BarlowTwins,0.1585365853658536,0.65,0.2549019607843137,0.9976109215017064,0.9769385026737968,0.9871664978047956,0.9747675962815404,0.6210342292945548,0.9332553475935828,0.2761782133457769,-0.0005779481298023,-0.0551598705351352
2025-08-26 11:05:47,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,64,32,BarlowTwins,0.0082606700321248,0.72,0.0163339382940108,0.9915966386554622,0.2765316370940743,0.4324607329842931,0.2802124833997343,0.224397335639152,0.4905590893873451,0.0081105598001061,0.000413054616614,-0.0523882173001766
2025-08-26 11:07:56,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,128,1,BarlowTwins,0.0569620253164556,0.5625,0.1034482758620689,0.9975473020322354,0.9502670226969292,0.9733333333333332,0.9482071713147412,0.5383908045977012,0.8277912216288384,0.0545887448658398,-2.7461085595807867e-05,-0.0141652971506118
2025-08-26 11:12:43,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,128,32,BarlowTwins,0.0110993657505285,0.7,0.0218522372528616,0.9919642857142856,0.3725687458081824,0.5416869819600195,0.3758300132802125,0.2817696096064405,0.4849765258215962,0.0094502549175529,0.001999322774311,0.0293962601572275
2025-08-26 11:16:57,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,256,1,BarlowTwins,0.1935483870967742,0.8,0.3116883116883117,0.9989830508474576,0.9833166499833168,0.9910879435009248,0.9824037184594954,0.6513881275946183,0.8605049493938383,0.2222250614760434,-2.3239435383026617e-05,-0.0846019983291626
2025-08-26 11:22:21,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,256,32,BarlowTwins,0.0106100795755968,0.2,0.0201511335012594,0.9939278937381404,0.8753342245989305,0.9308690243468988,0.8708499335989376,0.4755100789240791,0.6005848930481283,0.0095075089459216,5.8720669418232144e-05,0.0219826754182577
2025-08-26 11:26:38,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,512,1,BarlowTwins,0.2025316455696202,0.7272727272727273,0.3168316831683168,0.9979543129901124,0.9789297658862876,0.9883504980584163,0.9770916334661356,0.6525910906133666,0.9403846153846154,0.4180653672113772,-0.0006129815593887,-0.1088669598102569
2025-08-26 11:32:51,BGRL_L2L_w_cen,HF_FND_2024_03_SP_H1_NODE_FEAT,2025,"['dc', 'cc', 'bc']",0.001,32,512,32,BarlowTwins,0.02064896755162242,0.5384615384615384,0.03977272727272727,0.9977553310886644,0.889296432144048,0.9404090267983075,0.8877822045152722,0.4900908770355174,0.7559699386975145,0.034593330974253114,0.002496375616053796,0.0804995745420456
